Hours_Studied;Attendance;Parental_Involvement;Access_to_Resources;Extracurricular_Activities;Previous_Scores;Motivation_Level;Tutoring_Sessions;Family_Income;Teacher_Quality;Peer_Influence;Learning_Disabilities;Parental_Education_Level;Distance_from_Home;Study_Efficiency;High_Support;Family_Education_Support;Exam_Score
14;96;2;1;1;69;0;0;2;2;0;1;0;2;0.2;0;0;66.340133
27;85;0;2;1;66;2;2;1;0;1;1;1;1;0.402985075;0;0;69.532539
19;70;2;2;1;67;2;5;2;1;2;0;2;1;0.279411765;0;0;65.944889
16;73;0;1;1;58;2;1;2;2;1;0;1;2;0.271186441;0;0;64.102103
22;86;0;2;1;56;2;1;0;2;2;0;1;1;0.385964912;0;0;68.358048
23;94;1;2;0;58;0;5;1;1;1;0;1;2;0.389830508;0;0;71.55761
19;62;2;0;1;82;2;0;1;0;0;1;0;1;0.228915663;0;0;61.801984
20;73;2;1;1;93;0;1;1;0;0;0;1;0;0.212765957;0;0;65.732016
23;90;0;0;0;87;0;1;1;2;1;0;1;2;0.261363636;0;0;71.070155
17;76;0;2;1;94;2;3;2;2;1;0;1;1;0.178947368;0;0;66.92436
14;87;2;0;1;61;2;0;1;2;1;0;1;0;0.225806452;0;0;64.706677
6;84;2;2;1;88;2;1;1;2;2;0;2;1;0.06741573;0;0;64.167563
30;77;2;1;1;70;2;0;2;0;1;0;1;1;0.422535211;0;0;68.358718
14;90;2;0;1;60;2;2;2;2;1;0;2;2;0.229508197;1;0;67.665891
20;81;2;1;1;53;1;0;2;1;1;0;1;0;0.37037037;0;0;64.914876
25;72;2;2;1;52;1;0;2;2;2;0;2;2;0.471698113;0;0;65.603863
17;82;2;2;1;59;2;3;2;2;2;0;0;2;0.283333333;0;0;66.54296
14;83;2;1;1;82;2;0;2;2;2;0;1;2;0.168674699;0;0;66.052421
15;64;1;1;1;84;1;0;2;2;1;0;0;0;0.176470588;0;0;61.657092
11;78;0;2;1;100;0;1;1;2;1;0;1;1;0.108910891;0;0;65.511304
25;65;1;2;0;94;2;1;1;0;0;0;0;2;0.263157895;0;0;65.64469
25;87;2;1;1;74;1;0;2;0;1;1;1;2;0.333333333;0;0;68.905884
20;62;2;1;1;80;0;1;2;0;1;0;0;1;0.24691358;0;0;63.698635
22;91;0;2;0;85;1;2;2;2;2;0;1;1;0.255813953;0;0;70.50243
19;70;2;2;1;90;1;2;1;2;2;0;1;1;0.208791209;0;0;65.730643
26;64;0;2;0;91;0;1;2;2;2;0;1;2;0.282608696;0;0;66.796043
11;68;0;2;1;87;2;1;1;2;2;1;1;0;0.125;0;0;61.729446
31;88;2;0;0;83;2;0;1;2;1;0;1;2;0.369047619;0;0;71.239037
15;81;0;2;0;68;1;0;2;0;2;0;1;2;0.217391304;0;0;65.734114
14;92;2;0;1;58;0;1;0;1;2;0;1;2;0.237288136;0;0;68.183782
24;61;1;2;0;94;2;3;2;0;1;1;0;1;0.252631579;0;0;64.569451
14;66;0;1;0;96;2;3;1;0;0;0;1;2;0.144329897;0;0;64.468989
19;65;2;0;1;60;1;1;1;2;1;0;2;1;0.31147541;0;0;62.939465
17;78;2;1;1;51;0;1;1;2;1;0;1;1;0.326923077;0;0;64.310457
21;75;0;0;0;70;0;1;2;0;1;0;2;2;0.295774648;0;1;68.078543
22;82;2;1;0;54;2;2;2;2;1;0;0;1;0.4;0;0;66.043059
29;78;0;2;0;92;2;2;1;2;0;0;1;2;0.311827957;0;0;69.647634
23;80;2;2;1;91;1;5;0;2;0;0;1;2;0.25;0;0;69.782536
20;93;2;0;0;97;2;1;1;2;1;0;2;1;0.204081633;0;0;69.854757
7;60;2;0;1;69;1;0;1;2;2;0;0;1;0.1;0;0;58.833934
20;83;2;2;0;51;2;2;1;0;0;0;2;2;0.384615385;0;0;65.940499
23;81;2;0;0;59;1;2;2;0;1;0;0;2;0.383333333;1;0;68.39741
27;67;1;2;1;90;2;2;0;0;1;0;1;1;0.296703297;0;0;67.691686
23;64;2;0;1;68;1;3;1;0;1;0;1;2;0.333333333;1;0;66.681679
16;68;2;2;1;85;2;1;2;2;2;0;0;2;0.186046512;0;0;63.88967
23;71;2;2;1;50;2;1;1;0;2;0;0;2;0.450980392;0;0;65.472794
20;72;2;1;1;89;1;1;1;2;0;0;1;0;0.222222222;0;0;64.670889
16;96;2;2;0;50;0;1;2;0;2;0;0;2;0.31372549;0;0;67.941201
19;79;2;2;0;76;0;1;2;2;1;0;1;2;0.246753247;0;0;65.754258
17;82;0;2;1;65;2;1;2;2;2;0;1;2;0.257575758;0;0;66.747262
23;68;2;2;1;80;2;1;2;1;1;0;1;2;0.283950617;0;0;65.425962
22;77;2;0;0;71;0;3;1;2;0;0;1;0;0.305555556;1;0;66.707509
11;89;2;2;1;63;2;0;2;2;1;0;0;2;0.171875;0;0;64.49821
28;74;2;2;1;96;1;0;0;0;1;0;1;2;0.288659794;0;0;69.045014
17;85;0;2;1;87;2;1;1;2;1;0;1;2;0.193181818;0;0;68.048542
8;84;2;1;1;56;1;1;1;2;2;0;1;1;0.140350877;0;0;63.423075
20;87;2;2;0;89;1;2;2;2;1;0;1;1;0.222222222;0;0;68.083506
37;79;2;0;0;95;0;1;0;2;0;0;1;2;0.385416667;0;0;72.115493
20;74;0;0;0;69;1;2;0;0;1;0;0;2;0.285714286;1;0;67.583402
15;67;1;2;1;59;1;0;1;2;1;0;1;2;0.25;0;0;61.851735
24;77;2;2;1;64;2;2;0;2;2;0;1;2;0.369230769;0;0;67.709898
18;76;1;0;1;82;0;1;2;2;0;0;0;2;0.21686747;0;0;66.120604
13;73;2;2;1;51;2;1;1;2;2;0;2;2;0.25;0;0;62.579836
17;64;2;2;1;60;2;1;2;2;2;1;1;2;0.278688525;0;0;61.389546
20;84;2;0;1;57;0;2;2;2;2;0;1;0;0.344827586;1;0;67.932868
27;68;0;2;0;52;2;1;2;1;1;0;2;0;0.509433962;0;1;65.540601
16;62;2;2;1;79;1;2;2;2;1;0;1;2;0.2;0;0;62.55408
18;99;2;0;1;51;2;1;2;1;1;0;2;2;0.346153846;0;0;69.3985
15;86;2;0;0;99;0;2;2;2;1;0;1;2;0.15;1;0;68.838838
15;78;2;0;1;63;2;2;2;2;2;0;2;0;0.234375;1;0;65.30133
18;75;2;2;1;87;1;3;1;2;0;0;2;2;0.204545455;0;0;66.227037
12;68;2;0;0;98;2;1;2;0;1;0;1;2;0.121212121;0;0;63.474945
23;73;0;0;0;78;1;0;0;2;1;0;1;1;0.291139241;0;0;66.288855
21;77;2;0;1;70;1;2;0;2;2;0;0;2;0.295774648;1;0;68.409299
11;97;2;2;1;83;1;4;2;0;0;0;1;0;0.130952381;0;0;68.159403
7;79;1;0;1;85;2;0;2;2;0;0;1;2;0.081395349;0;0;63.03059
26;90;1;0;1;81;2;1;1;2;1;0;2;2;0.317073171;0;0;71.5928
16;89;0;2;0;96;2;2;2;1;2;0;0;0;0.164948454;0;0;68.499229
17;89;2;2;1;82;2;3;2;2;2;0;0;2;0.204819277;0;0;69.069187
17;98;0;0;0;68;2;2;2;2;2;0;1;2;0.246376812;1;0;71.112548
7;62;0;2;1;51;1;0;2;1;2;0;0;1;0.134615385;0;0;58.558062
19;69;2;0;1;82;0;1;1;2;0;0;1;2;0.228915663;0;0;64.851826
36;96;2;1;0;96;2;1;1;0;2;0;0;1;0.371134021;0;0;75.486623
12;85;2;2;1;78;0;3;2;2;1;0;0;2;0.151898734;0;0;66.446779
16;62;1;2;0;74;2;2;0;0;1;0;1;1;0.213333333;0;0;62.165852
27;98;2;0;0;82;2;0;0;2;2;0;1;2;0.325301205;0;0;72.679344
33;61;1;1;1;96;2;2;2;2;0;0;1;2;0.340206186;0;0;68.006077
16;94;1;2;0;85;2;3;1;0;1;0;1;2;0.186046512;0;0;69.865022
19;81;0;2;0;100;2;1;1;2;0;0;2;1;0.188118812;0;1;67.926686
19;73;2;2;1;85;2;1;2;2;1;0;1;0;0.220930233;0;0;64.323534
30;73;0;2;1;100;2;2;0;0;1;0;1;2;0.297029703;0;0;71.074636
11;94;0;1;1;61;2;1;2;1;1;0;0;1;0.177419355;0;0;66.627174
27;91;2;1;0;57;2;0;1;1;1;0;2;1;0.465517241;0;0;69.053938
20;78;0;2;0;80;0;2;0;2;2;0;0;2;0.24691358;0;0;67.925318
25;66;2;2;1;99;2;2;2;2;2;0;0;2;0.25;0;0;67.210683
12;61;1;2;1;92;2;2;0;2;1;1;1;1;0.129032258;0;0;61.048757
23;87;2;2;1;98;2;3;2;2;1;0;0;2;0.232323232;0;0;70.67093
14;62;2;2;0;73;2;1;1;2;1;0;1;2;0.189189189;0;0;60.589418
27;73;1;1;0;97;2;2;2;0;1;0;1;2;0.275510204;0;0;69.163025
16;72;2;0;0;58;1;1;2;2;0;0;1;0;0.271186441;0;0;61.551672
29;64;2;0;1;74;2;0;0;2;2;0;2;2;0.386666667;0;0;66.811104
17;70;0;2;0;82;1;2;0;0;0;1;1;1;0.204819277;0;0;63.631243
13;96;2;2;0;51;2;1;1;1;2;0;2;2;0.25;0;0;66.783897
34;92;0;2;0;68;1;0;2;0;2;0;0;2;0.492753623;0;0;73.346365
24;95;0;2;0;66;1;2;0;0;0;0;1;2;0.358208955;0;0;71.108471
13;77;0;0;1;69;2;2;1;0;1;0;0;1;0.185714286;1;0;65.972644
17;87;0;0;1;94;2;2;1;2;1;0;1;1;0.178947368;1;0;69.975334
34;98;2;0;0;79;2;1;1;2;1;0;0;2;0.425;0;0;74.259253
15;89;0;1;0;73;0;2;1;1;1;0;1;2;0.202702703;0;0;68.274452
26;65;1;2;0;53;1;3;0;2;2;0;1;2;0.481481481;0;0;65.844062
15;77;2;2;1;52;2;1;2;2;1;0;0;2;0.283018868;0;0;63.21397
24;91;1;2;1;52;2;1;1;2;1;0;1;2;0.452830189;0;0;69.234296
13;73;2;0;1;60;0;0;0;0;1;0;0;2;0.213114754;0;0;63.423497
20;81;1;2;0;54;1;0;1;1;2;0;0;1;0.363636364;0;0;65.495563
17;63;2;2;0;92;2;2;1;2;0;0;1;2;0.182795699;0;0;62.547428
25;73;0;2;0;54;0;2;2;2;1;0;1;1;0.454545455;0;0;66.004487
19;89;2;1;0;74;2;1;1;2;2;0;1;1;0.253333333;0;0;67.764358
15;83;2;0;0;98;1;3;1;0;2;0;1;1;0.151515152;1;0;69.134145
15;98;2;2;1;89;1;2;1;1;1;0;0;1;0.166666667;0;0;69.727601
28;73;2;0;1;96;2;1;2;2;0;0;2;2;0.288659794;0;0;68.522725
14;89;0;0;1;73;2;2;2;0;0;0;0;2;0.189189189;1;0;68.668337
21;60;0;1;0;78;2;2;2;0;2;0;1;2;0.265822785;0;0;64.82589
23;68;2;0;0;91;1;5;1;2;1;0;0;2;0.25;1;0;68.341771
14;94;2;0;1;71;2;0;2;2;0;1;0;1;0.194444444;0;0;65.525867
19;96;1;1;1;70;0;0;1;2;2;0;1;0;0.267605634;0;0;69.32083
23;91;2;1;1;98;0;0;1;0;0;0;1;2;0.232323232;0;0;70.909719
18;98;1;2;0;53;2;0;0;2;1;0;1;1;0.333333333;0;0;67.480422
24;89;0;2;1;99;2;2;1;0;1;0;1;2;0.24;0;0;72.376914
15;83;2;1;1;91;2;0;1;2;1;0;0;0;0.163043478;0;0;65.372689
26;93;0;2;0;85;1;1;0;0;2;0;0;1;0.302325581;0;0;72.252213
22;79;1;0;1;96;2;1;0;2;1;0;0;1;0.226804124;0;0;68.530312
16;71;2;2;0;51;2;0;1;2;0;0;2;0;0.307692308;0;0;60.029431
26;71;2;2;1;91;2;2;1;2;1;0;1;1;0.282608696;0;0;67.268753
21;74;1;2;0;55;0;3;1;2;2;0;0;2;0.375;0;0;66.191886
20;64;2;0;0;53;0;4;0;2;1;0;0;1;0.37037037;1;0;64.223776
17;72;0;2;1;94;0;1;1;2;1;0;1;1;0.178947368;0;0;65.696729
24;72;0;2;1;95;2;3;1;2;0;0;2;2;0.25;0;1;69.260957
23;74;2;2;0;67;2;3;0;2;0;0;1;0;0.338235294;0;0;64.805931
22;83;1;0;1;53;2;0;1;1;0;0;2;2;0.407407407;0;0;67.027452
20;79;2;2;0;83;2;3;1;2;1;0;0;1;0.238095238;0;0;66.522616
20;99;1;2;0;80;0;0;2;0;0;0;2;2;0.24691358;0;0;70.157532
24;99;2;2;0;51;1;1;1;2;1;0;1;2;0.461538462;0;0;69.98474
29;66;0;0;0;66;2;0;2;2;0;0;2;2;0.432835821;0;1;66.634961
23;60;0;2;1;56;1;0;1;2;0;0;1;1;0.403508772;0;0;62.050485
20;89;0;2;1;70;1;1;1;2;2;0;1;1;0.281690141;0;0;69.058347
12;67;2;0;1;77;2;2;1;0;2;0;0;2;0.153846154;1;0;64.389853
18;86;2;2;1;88;2;2;2;0;1;0;0;0;0.202247191;0;0;67.627993
17;86;2;0;0;97;0;3;0;2;1;0;0;2;0.173469388;1;0;69.915776
30;62;2;0;1;63;2;2;1;0;2;0;1;1;0.46875;1;0;67.534339
15;71;1;2;0;60;0;5;1;0;2;0;1;0;0.245901639;0;0;64.560808
19;97;1;0;0;78;2;0;2;2;0;0;1;1;0.240506329;0;0;68.582493
20;99;2;2;0;75;2;2;1;0;0;0;2;0;0.263157895;0;0;69.266361
31;92;2;2;1;76;2;2;2;0;2;1;1;0;0.402597403;0;0;71.718631
21;61;2;2;0;90;1;2;2;1;1;0;1;2;0.230769231;0;0;63.996917
12;79;1;0;0;55;2;1;1;0;1;0;0;0;0.214285714;0;0;62.877364
11;82;2;2;1;88;2;1;1;2;0;0;2;1;0.123595506;0;0;64.136826
17;61;1;0;1;75;2;2;2;0;0;0;0;2;0.223684211;1;0;63.725102
15;89;2;1;0;55;2;1;2;2;2;0;2;1;0.267857143;0;0;65.627305
23;76;2;2;1;57;0;1;2;2;0;0;1;1;0.396551724;0;0;65.014752
20;81;0;2;1;51;0;3;2;2;1;1;1;2;0.384615385;0;0;66.672173
15;72;2;1;1;80;2;4;2;0;1;0;0;1;0.185185185;0;0;65.253992
8;95;2;2;0;73;1;2;2;2;1;0;0;2;0.108108108;0;0;65.805864
13;89;1;0;1;98;2;0;2;2;0;0;1;2;0.131313131;0;0;67.408224
29;62;1;0;1;53;0;0;1;2;2;0;0;1;0.537037037;0;0;65.469742
23;74;0;1;0;100;1;2;0;1;2;0;1;2;0.227722772;0;0;69.452025
27;95;1;0;1;94;0;2;2;2;1;0;2;0;0.284210526;1;0;73.823935
17;72;1;2;0;96;0;2;1;0;1;0;1;2;0.175257732;0;0;66.257278
19;74;2;0;0;82;0;2;1;2;1;0;1;1;0.228915663;1;0;66.356753
23;68;1;1;1;92;2;3;1;0;1;0;1;2;0.247311828;0;0;67.951966
20;99;2;1;1;97;1;4;0;2;1;0;0;2;0.204081633;0;0;73.301751
20;61;0;2;0;99;2;0;2;0;1;0;0;2;0.2;0;0;64.024727
23;87;0;1;0;81;1;5;2;0;1;0;1;0;0.280487805;0;0;70.913237
19;95;1;1;1;86;2;0;0;2;0;0;1;1;0.218390805;0;0;69.140197
31;63;2;0;0;86;1;0;0;2;1;0;2;1;0.356321839;0;0;66.323044
35;64;2;1;0;85;0;2;2;0;1;0;1;1;0.406976744;0;0;68.54731
24;88;2;2;1;94;2;0;1;2;0;0;2;1;0.252631579;0;0;68.872733
26;69;0;0;1;90;2;3;2;2;2;0;0;1;0.285714286;1;0;69.531182
13;98;2;0;1;71;2;1;1;0;2;0;0;2;0.180555556;0;0;69.44226
26;95;1;0;0;77;2;0;2;2;1;0;1;1;0.333333333;0;0;70.6722
13;90;2;2;0;63;2;0;1;2;1;0;1;1;0.203125;0;0;64.408013
23;89;1;2;0;85;1;0;1;2;2;0;2;1;0.26744186;0;0;69.328531
15;74;0;0;0;60;1;3;1;2;2;0;1;1;0.245901639;1;0;65.647462
18;74;2;2;0;78;0;0;0;2;2;0;1;1;0.227848101;0;0;64.427581
10;96;2;2;0;99;2;1;2;2;0;0;0;2;0.1;0;0;66.828673
26;76;2;2;0;59;1;0;2;2;1;1;2;2;0.433333333;0;0;65.039052
14;68;2;0;0;76;2;2;0;2;2;0;1;2;0.181818182;1;0;64.226268
13;97;0;0;0;70;2;1;1;0;1;0;2;2;0.183098592;0;1;69.907503
11;97;2;2;0;91;2;1;2;2;2;0;1;2;0.119565217;0;0;68.007966
29;77;2;1;1;68;0;1;2;2;2;0;1;0;0.420289855;0;0;68.319358
